run,reference,prediction,count
stage5,aleurocanthus spiniferus,alfalfa weevil,1
stage5,alfalfa plant bug,alfalfa weevil,2
stage5,alfalfa seed chalcid,alfalfa weevil,1
stage5,algal leaf,gray blight,2
stage5,aphids,alfalfa weevil,6
stage5,apple apple scab,corn maize northern leaf blight,2
stage5,apple black rot,corn maize northern leaf blight,1
stage5,apple healthy,corn maize northern leaf blight,4
stage5,apple scab leaf,bell pepper leaf spot,1
stage5,army worm,alfalfa weevil,3
stage5,bacterial leaf blight,bacterial leaf blight,7
stage5,bactrocera tsuneonis,alfalfa weevil,1
stage5,banana healthy leaf,black sigatoka,3
stage5,beet army worm,alfalfa weevil,4
stage5,bird cherry oataphid,alfalfa weevil,3
stage5,bird eye spot,gray blight,2
stage5,black cutworm,alfalfa weevil,2
stage5,black sigatoka,black sigatoka,2
stage5,blister beetle,alfalfa weevil,4
stage5,blueberry healthy,corn maize northern leaf blight,2
stage5,blueberry leaf,bell pepper leaf spot,1
stage5,bract mosaic virus,black sigatoka,2
stage5,brinjal mites,healthy,1
stage5,brown blight,gray blight,5
stage5,brown plant hopper,alfalfa weevil,3
stage5,brown plant hopper,bacterial leaf blight,1
stage5,brown spot,bacterial leaf blight,12
stage5,cherry including sour healthy,corn maize northern leaf blight,3
stage5,chickpea botrytis gray mold,healthy,1
stage5,chilli leaf curl virus,healthy,1
stage5,chilli thrips,healthy,1
stage5,chilo suppressalis,bacterial leaf blight,3
stage5,chlumetia transversa,alfalfa weevil,2
stage5,cicadella viridis,alfalfa weevil,1
stage5,cicadellidae,alfalfa weevil,9
stage5,coriander healthy,healthy,1
stage5,corn borer,alfalfa weevil,2
stage5,corn gray leaf spot,bell pepper leaf spot,1
stage5,corn leaf blight,bell pepper leaf spot,2
stage5,corn maize cercospora leaf spot gray leaf spot,corn maize northern leaf blight,3
stage5,corn maize common rust,corn maize northern leaf blight,3
stage5,corn maize healthy,corn maize northern leaf blight,2
stage5,corn maize northern leaf blight,corn maize northern leaf blight,3
stage5,cucumber squash bug,healthy,1
stage5,dacus dorsalis hendel,alfalfa weevil,1
stage5,dasineura sp,alfalfa weevil,1
stage5,english grain aphid,alfalfa weevil,1
stage5,flax budworm,alfalfa weevil,1
stage5,flea beetle,alfalfa weevil,1
stage5,grape esca black measles,corn maize northern leaf blight,3
stage5,grape leaf black rot,bell pepper leaf spot,1
stage5,grape leaf blight isariopsis leaf spot,corn maize northern leaf blight,1
stage5,gray light,gray blight,1
stage5,green bug,alfalfa weevil,2
stage5,grub,alfalfa weevil,2
stage5,guava healthy,healthy,1
stage5,healthy,bacterial leaf blight,6
stage5,healthy,gray blight,3
stage5,hispa,bacterial leaf blight,4
stage5,icerya purchasi maskell,alfalfa weevil,1
stage5,insect pest,black sigatoka,3
stage5,large cutworm,alfalfa weevil,2
stage5,leaf scald,bacterial leaf blight,10
stage5,limacodidae,alfalfa weevil,1
stage5,locustoidea,alfalfa weevil,2
stage5,longlegged spider mite,alfalfa weevil,2
stage5,lycorma delicatula,alfalfa weevil,10
stage5,lytta polita,alfalfa weevil,1
stage5,maize fall armyworm,healthy,2
