task_name,task_type,source_dataset,label,train_count,val_count,test_count,original_label_variants
banana_disease:classification,classification,banana_disease,banana healthy leaf,64,0,3,banana_healthy_leaf
banana_disease:classification,classification,banana_disease,black sigatoka,64,0,2,black_sigatoka
banana_disease:classification,classification,banana_disease,bract mosaic virus,64,0,2,bract_mosaic_virus
banana_disease:classification,classification,banana_disease,insect pest,64,0,3,insect_pest
banana_disease:classification,classification,banana_disease,moko disease,64,0,5,moko_disease
banana_disease:classification,classification,banana_disease,panama disease,64,0,0,panama_disease
banana_disease:classification,classification,banana_disease,yellow sigatoka,64,0,2,yellow_sigatoka
digigreen_crop_disease:classification,classification,digigreen_crop_disease,aparajita healthy,24,0,0,aparajita healthy
digigreen_crop_disease:classification,classification,digigreen_crop_disease,arhar aphids,24,0,0,arhar aphids
digigreen_crop_disease:classification,classification,digigreen_crop_disease,arhar healthy,24,0,0,arhar healthy
digigreen_crop_disease:classification,classification,digigreen_crop_disease,arhar pod borer,24,0,0,arhar pod borer
digigreen_crop_disease:classification,classification,digigreen_crop_disease,arhar sterility mosaic,24,0,0,arhar sterility mosaic
digigreen_crop_disease:classification,classification,digigreen_crop_disease,banana banana aphid,24,0,0,banana banana aphid
digigreen_crop_disease:classification,classification,digigreen_crop_disease,banana banana weevil,24,0,0,banana banana weevil
digigreen_crop_disease:classification,classification,digigreen_crop_disease,banana healthy,24,0,0,banana healthy
digigreen_crop_disease:classification,classification,digigreen_crop_disease,banana panama wilt,24,0,0,banana banana weevil; banana panama wilt
digigreen_crop_disease:classification,classification,digigreen_crop_disease,banana sigatoka leaf spot,24,0,0,banana banana weevil; banana sigatoka leaf spot
digigreen_crop_disease:classification,classification,digigreen_crop_disease,bean aphids,24,0,0,bean aphids
digigreen_crop_disease:classification,classification,digigreen_crop_disease,bean bacterial blight,24,0,0,bean bacterial blight
digigreen_crop_disease:classification,classification,digigreen_crop_disease,bean bean beetle,24,0,0,bean bean beetle; bean pod borer
digigreen_crop_disease:classification,classification,digigreen_crop_disease,bean healthy,24,0,0,bean healthy
