run,label,support,precision,recall,f1
stage7_label_only_classification,aleurocanthus spiniferus,1,0.0,0.0,0.0
stage7_label_only_classification,alfalfa plant bug,2,0.0,0.0,0.0
stage7_label_only_classification,alfalfa seed chalcid,1,0.0,0.0,0.0
stage7_label_only_classification,algal leaf,2,0.0,0.0,0.0
stage7_label_only_classification,aphids,6,0.0425531914893617,1.0,0.08163265306122448
stage7_label_only_classification,apple apple scab,2,0.0,0.0,0.0
stage7_label_only_classification,apple black rot,1,0.0,0.0,0.0
stage7_label_only_classification,apple healthy,4,0.0,0.0,0.0
stage7_label_only_classification,apple scab leaf,1,0.0,0.0,0.0
stage7_label_only_classification,army worm,3,0.0,0.0,0.0
stage7_label_only_classification,bacterial leaf blight,7,0.0,0.0,0.0
stage7_label_only_classification,bactrocera tsuneonis,1,0.0,0.0,0.0
stage7_label_only_classification,banana healthy leaf,3,0.0,0.0,0.0
stage7_label_only_classification,beet army worm,4,0.0,0.0,0.0
stage7_label_only_classification,bird cherry oataphid,3,0.0,0.0,0.0
stage7_label_only_classification,bird eye spot,2,0.0,0.0,0.0
stage7_label_only_classification,black cutworm,2,0.0,0.0,0.0
stage7_label_only_classification,black sigatoka,2,0.0,0.0,0.0
stage7_label_only_classification,blister beetle,4,0.0,0.0,0.0
stage7_label_only_classification,blueberry healthy,2,0.0,0.0,0.0
stage7_label_only_classification,blueberry leaf,1,0.0,0.0,0.0
stage7_label_only_classification,bract mosaic virus,2,0.0,0.0,0.0
stage7_label_only_classification,brinjal mites,1,0.0,0.0,0.0
stage7_label_only_classification,brown blight,5,0.0,0.0,0.0
stage7_label_only_classification,brown plant hopper,4,0.0,0.0,0.0
stage7_label_only_classification,brown spot,12,0.0,0.0,0.0
stage7_label_only_classification,cherry including sour healthy,3,0.0,0.0,0.0
stage7_label_only_classification,chickpea botrytis gray mold,1,0.0,0.0,0.0
stage7_label_only_classification,chilli leaf curl virus,1,0.0,0.0,0.0
stage7_label_only_classification,chilli thrips,1,0.0,0.0,0.0
stage7_label_only_classification,chilo suppressalis,3,0.0,0.0,0.0
stage7_label_only_classification,chlumetia transversa,2,0.0,0.0,0.0
stage7_label_only_classification,cicadella viridis,1,0.0,0.0,0.0
stage7_label_only_classification,cicadellidae,9,0.0,0.0,0.0
stage7_label_only_classification,coriander healthy,1,0.0,0.0,0.0
stage7_label_only_classification,corn borer,2,0.0,0.0,0.0
stage7_label_only_classification,corn gray leaf spot,1,0.0,0.0,0.0
stage7_label_only_classification,corn leaf blight,2,0.0,0.0,0.0
stage7_label_only_classification,corn maize cercospora leaf spot gray leaf spot,3,0.0,0.0,0.0
stage7_label_only_classification,corn maize common rust,3,0.0,0.0,0.0
